customerID,churn_probability,risk_segment,MonthlyCharges,TotalCharges,Churn
8168-UQWWF,0.53990465,High Risk,97.85,1105.4,Yes
8865-TNMNX,0.3353528,Medium Risk,49.55,475.7,No
9489-DEDVP,0.031331673,Low Risk,69.2,4872.35,No
9867-JCZSP,0.33767748,Medium Risk,20.75,418.25,No
4671-VJLCL,0.035357207,Low Risk,79.85,4861.45,No
4080-IIARD,0.26109388,Low Risk,76.2,981.45,No
3714-NTNFO,0.5099618,High Risk,84.5,3906.7,No
5948-UJZLF,0.37243578,Medium Risk,49.25,97.0,No
7760-OYPDY,0.51917195,High Risk,80.65,144.15,Yes
7639-LIAYI,0.063171506,Low Risk,79.75,4217.8,No
2954-PIBKO,0.037417967,Low Risk,64.15,4254.1,No
8012-SOUDQ,0.4584056,Medium Risk,90.25,3838.75,No
9420-LOJKX,0.28933558,Low Risk,99.1,1426.4,Yes
6575-SUVOI,0.29822695,Low Risk,69.5,1752.65,No
7495-OOKFY,0.46334022,Medium Risk,80.65,633.3,Yes
4667-QONEA,0.16888118,Low Risk,74.85,4456.35,No
1658-BYGOY,0.5503201,High Risk,95.45,1752.55,Yes
8769-KKTPH,0.28233686,Low Risk,99.65,6311.2,No
5067-XJQFU,0.25462878,Low Risk,108.45,7076.35,No
3957-SQXML,0.05816769,Low Risk,24.95,894.3,No
5954-BDFSG,0.05243666,Low Risk,107.5,7853.7,No
0434-CSFON,0.5147343,High Risk,100.5,4707.1,No
1215-FIGMP,0.38753122,Medium Risk,89.9,5450.7,No
0526-SXDJP,0.063067175,Low Risk,42.1,2962.0,No
0557-ASKVU,0.16339296,Low Risk,54.4,957.1,No
5698-BQJOH,0.5618678,High Risk,94.4,857.25,Yes
5122-CYFXA,0.32507676,Medium Risk,75.3,244.1,No
8627-ZYGSZ,0.2869495,Low Risk,78.9,3650.35,No
3410-YOQBQ,0.036900718,Low Risk,79.2,2497.2,No
3170-NMYVV,0.04138413,Low Risk,20.15,930.9,No
7410-OIEDU,0.25679058,Low Risk,79.85,887.35,No
2273-QCKXA,0.31504205,Medium Risk,49.05,49.05,No
0731-EBJQB,0.21960337,Low Risk,20.4,1090.65,No
1891-QRQSA,0.058971886,Low Risk,111.6,7099.0,No
8028-PNXHQ,0.04669655,Low Risk,24.25,1424.6,No
5630-AHZIL,0.27064824,Low Risk,64.5,177.4,No
2673-CXQEU,0.21027623,Low Risk,110.5,6139.5,No
6416-JNVRK,0.43977335,Medium Risk,55.65,2688.85,No
5590-ZSKRV,0.24305579,Low Risk,54.65,482.25,No
0191-ZHSKZ,0.24064347,Low Risk,74.75,2111.3,No
3887-PBQAO,0.2279541,Low Risk,25.9,1216.6,No
5919-TMRGD,0.57272667,High Risk,79.35,79.35,Yes
8108-UXRQN,0.28744155,Low Risk,50.55,565.35,No
9191-MYQKX,0.39774778,Medium Risk,75.15,496.9,Yes
9919-YLNNG,0.24130674,Low Risk,103.8,4327.5,No
0318-ZOPWS,0.025817804,Low Risk,20.15,973.35,No
4445-ZJNMU,0.5510183,High Risk,99.3,918.75,No
4808-YNLEU,0.18587708,Low Risk,62.15,2215.45,No
1862-QRWPE,0.109034814,Low Risk,20.65,1057.0,No
2796-NNUFI,0.023393773,Low Risk,19.95,927.1,No
3016-KSVCP,0.41103965,Medium Risk,33.75,1009.25,No
4767-HZZHQ,0.5475945,High Risk,82.05,2570.2,No
2424-WVHPL,0.3942708,Medium Risk,74.7,74.7,No
7233-PAHHL,0.058378126,Low Risk,84.0,5714.25,No
6067-NGCEU,0.22779863,Low Risk,111.05,7107.0,No
9848-JQJTX,0.13982365,Low Risk,100.9,7459.05,No
8637-XJIVR,0.25434077,Low Risk,78.95,927.35,Yes
9803-FTJCG,0.17320523,Low Risk,66.85,4748.7,No
0278-YXOOG,0.3566251,Medium Risk,21.05,113.85,Yes
3212-KXOCR,0.062224846,Low Risk,21.0,1107.2,No
4598-XLKNJ,0.4038003,Medium Risk,98.5,2514.5,Yes
6380-ARCEH,0.4145267,Medium Risk,20.2,20.2,No
3679-XASPY,0.42586792,Medium Risk,19.45,19.45,No
7123-WQUHX,0.30213356,Medium Risk,95.0,3605.6,No
5386-THSLQ,0.25425753,Low Risk,45.55,3027.25,No
3192-NQECA,0.0934278,Low Risk,110.0,7611.85,Yes
6180-YBIQI,0.45597592,Medium Risk,24.3,100.2,No
6728-DKUCO,0.19364248,Low Risk,104.15,7303.05,No
9750-BOOHV,0.2151396,Low Risk,30.15,927.65,No
8597-CWYHH,0.43353432,Medium Risk,94.35,3921.3,No
2848-YXSMW,0.04601076,Low Risk,19.4,1363.25,No
0486-HECZI,0.2665177,Low Risk,96.75,5238.9,Yes
4549-ZDQYY,0.18188374,Low Risk,57.95,3042.25,No
5712-AHQNN,0.4322522,Medium Risk,91.65,3954.1,No
4846-WHAFZ,0.4362463,Medium Risk,76.5,2868.15,Yes
5256-SKJGO,0.046019435,Low Risk,54.6,3423.5,No
3071-VBYPO,0.2627906,Low Risk,89.85,248.4,No
9560-BBZXK,0.06432843,Low Risk,31.05,1126.35,No
5299-RULOA,0.2764666,Low Risk,100.25,1064.65,Yes
8402-OOOHJ,0.033074867,Low Risk,20.65,835.15,No
9445-ZUEQE,0.27693805,Low Risk,85.2,2151.6,No
1091-SOZGA,0.32264525,Medium Risk,99.8,5515.45,No
2928-HLDBA,0.37646776,Medium Risk,20.7,112.75,No
0404-SWRVG,0.49273208,Medium Risk,74.4,229.55,Yes
6497-TILVL,0.24555759,Low Risk,50.7,350.35,No
7219-TLZHO,0.38980746,Medium Risk,20.85,62.9,No
4622-YNKIJ,0.031278215,Low Risk,88.95,3027.65,No
4412-YLTKF,0.3747778,Medium Risk,78.05,2135.5,Yes
6734-PSBAW,0.035871666,Low Risk,23.55,1723.95,No
3930-ZGWVE,0.4145267,Medium Risk,19.75,19.75,No
2639-UGMAZ,0.26991296,Low Risk,56.45,3985.35,No
2876-GZYZC,0.64656645,High Risk,85.95,1215.65,No
6207-WIOLX,0.2875792,Low Risk,58.6,1502.65,Yes
8587-XYZSF,0.052362625,Low Risk,50.55,3260.1,No
3091-FYHKI,0.5381636,High Risk,35.45,35.45,Yes
2372-HWUHI,0.4555028,Medium Risk,44.35,81.25,Yes
7799-LGRDP,0.09204392,Low Risk,25.7,1188.2,No
7850-VWJUU,0.24062149,Low Risk,75.0,1778.5,No
3774-VBNXY,0.031647906,Low Risk,20.2,1277.75,No
6217-KDYWC,0.04392723,Low Risk,19.6,1170.55,No
0390-DCFDQ,0.4976609,Medium Risk,70.45,70.45,Yes
3146-MSEGF,0.031021798,Low Risk,88.05,6425.65,No
4080-OGPJL,0.24765643,Low Risk,71.15,563.65,Yes
1095-WGNGG,0.065539464,Low Risk,101.05,5971.25,No
2636-SJDOU,0.15430301,Low Risk,84.3,5289.05,No
1131-QQZEB,0.08432301,Low Risk,23.95,1756.2,No
5716-EZXZN,0.03756398,Low Risk,99.05,6416.7,No
6837-BJYDQ,0.3450138,Medium Risk,19.6,61.35,No
2135-RXIHG,0.48642138,Medium Risk,45.65,45.65,Yes
6440-DKQGE,0.28455153,Low Risk,64.5,1929.95,No
3466-BYAVD,0.2450029,Low Risk,69.5,1071.4,No
3780-YVMFA,0.33396178,Medium Risk,68.55,564.35,No
3874-EQOEP,0.57831085,High Risk,95.0,655.5,Yes
1679-JRFBR,0.2650013,Low Risk,108.15,7930.55,No
9073-ZZIAY,0.03547473,Low Risk,86.1,5215.25,No
3077-RSNTJ,0.3685406,Medium Risk,19.7,113.5,No
6551-GNYDG,0.47299606,Medium Risk,80.9,1152.8,No
9167-APMXZ,0.514091,High Risk,84.15,1821.95,No
2749-CTKAJ,0.19227943,Low Risk,20.15,419.9,No
6371-NZYEG,0.051997438,Low Risk,64.25,1024.0,No
7554-NEWDD,0.049042292,Low Risk,25.7,251.6,No
8992-VONJD,0.22800314,Low Risk,56.0,764.55,No
0867-MKZVY,0.24225885,Low Risk,82.4,1592.35,Yes
4482-EWFMI,0.5103967,High Risk,69.7,135.2,No
4648-YPBTM,0.039551638,Low Risk,73.9,3958.25,No
2907-ILJBN,0.30207348,Medium Risk,20.6,233.9,No
6345-FZOQH,0.037259597,Low Risk,19.9,1363.45,No
3376-BMGFE,0.47368282,Medium Risk,70.9,273.0,Yes
5997-OPVFA,0.0379837,Low Risk,89.05,6254.45,No
3445-HXXGF,0.39971733,Medium Risk,45.3,2651.2,Yes
1159-WFSGR,0.35996738,Medium Risk,20.4,321.4,No
7654-YWJUF,0.18227859,Low Risk,84.25,3539.25,No
1875-QIVME,0.4114027,Medium Risk,104.4,242.8,Yes
6727-IOTLZ,0.030970408,Low Risk,81.95,1181.75,No
0691-JVSYA,0.27069336,Low Risk,94.85,5000.2,Yes
5918-VUKWP,0.26363936,Low Risk,20.55,654.55,No
1744-JHKYS,0.33968735,Medium Risk,24.7,780.2,No
2656-FMOKZ,0.39601308,Medium Risk,74.45,1145.7,Yes
2070-FNEXE,0.30559242,Medium Risk,76.45,503.6,Yes
5947-SGKCL,0.50144196,High Risk,105.35,1559.25,No
3712-PKXZA,0.1908371,Low Risk,20.55,1252.0,No
6317-YPKDH,0.4783131,Medium Risk,29.95,29.95,Yes
6582-OIVSP,0.35310364,Medium Risk,45.3,45.3,No
9367-WXLCH,0.574924,High Risk,84.5,662.65,Yes
5524-KHNJP,0.27959362,Low Risk,74.75,2453.3,No
1918-ZBFQJ,0.4074291,Medium Risk,79.25,1111.65,Yes
1024-GUALD,0.4680891,Medium Risk,24.8,24.8,Yes
4827-USJHP,0.30520424,Medium Risk,51.8,1023.85,No
8167-GJLRN,0.36458844,Medium Risk,30.4,82.15,No
0956-SYCWG,0.41561776,Medium Risk,19.65,244.8,No
8017-UVSZU,0.39882225,Medium Risk,56.6,2379.1,No
7100-FQPRV,0.28005427,Low Risk,71.9,3173.35,No
2472-OVKUP,0.43854013,Medium Risk,91.0,531.0,Yes
2984-RGEYA,0.046560854,Low Risk,19.75,1375.4,No
9680-NIAUV,0.08281527,Low Risk,109.7,8129.3,No
2146-EGVDT,0.070883766,Low Risk,19.3,1192.7,No
2604-IJPDU,0.26682055,Low Risk,96.55,1901.65,No
9178-JHUVJ,0.03776572,Low Risk,24.1,587.4,No
6168-YBYNP,0.42477986,Medium Risk,111.35,6519.75,No
7255-SSFBC,0.05798662,Low Risk,112.25,8041.65,No
3645-DEYGF,0.4145267,Medium Risk,20.75,20.75,No
9323-HGFWY,0.2684304,Low Risk,101.9,2681.15,No
8544-GOQSH,0.29740873,Low Risk,80.05,1112.3,No
3363-DTIVD,0.052296046,Low Risk,105.55,7405.5,No
7018-WBJNK,0.5320746,High Risk,78.3,1033.95,No
9142-KZXOP,0.43900457,Medium Risk,68.85,2958.95,No
7674-YTAFD,0.17048231,Low Risk,79.95,2684.85,No
6348-SNFUS,0.060937516,Low Risk,55.45,4179.2,No
1285-OKIPP,0.52413696,High Risk,79.9,79.9,Yes
7825-ECJRF,0.27098745,Low Risk,106.6,1934.45,Yes
1347-KTTTA,0.31238493,Medium Risk,102.45,6654.1,No
7841-TZDMQ,0.39841503,Medium Risk,46.0,84.5,Yes
4195-NZGTA,0.44809955,Medium Risk,25.25,25.25,No
7157-SMCFK,0.040833175,Low Risk,19.75,1124.2,No
4709-LKHYG,0.39521882,Medium Risk,20.0,540.05,No
2504-DSHIH,0.53875697,High Risk,86.8,1975.85,No
0699-NDKJM,0.24741092,Low Risk,58.75,3437.45,No
9286-BHDQG,0.043372683,Low Risk,45.25,3139.8,No
0230-WEQUW,0.04159353,Low Risk,56.6,3789.2,No
2040-LDIWQ,0.046654295,Low Risk,84.2,5324.5,No
6496-JDSSB,0.50737756,High Risk,80.0,624.6,No
9408-SSNVZ,0.51523286,High Risk,70.15,268.35,Yes
4443-EMBNA,0.0931024,Low Risk,24.75,1836.9,No
6469-MRVET,0.4599127,Medium Risk,20.2,20.2,No
0742-MOABM,0.313638,Medium Risk,50.05,179.35,Yes
5961-VUSRV,0.2113551,Low Risk,19.35,219.35,No
6778-JFCMK,0.22949456,Low Risk,50.6,1288.75,No
6341-JVQGF,0.20918967,Low Risk,81.15,2545.75,No
2232-DMLXU,0.38744554,Medium Risk,55.2,55.2,Yes
4811-JBUVU,0.28384596,Low Risk,89.9,2723.15,No
0945-TSONX,0.031750955,Low Risk,85.3,4107.25,No
2651-ZCBXV,0.040453967,Low Risk,108.0,5760.65,No
3316-UWXUY,0.17462581,Low Risk,93.5,4747.5,No
8937-RDTHP,0.36331078,Medium Risk,84.6,84.6,Yes
7083-MIOPC,0.11987325,Low Risk,20.25,1566.9,No
1984-GPTEH,0.39400214,Medium Risk,25.15,702.0,No
1251-KRREG,0.33861423,Medium Risk,54.4,114.1,Yes
0621-JFHOL,0.032118395,Low Risk,29.6,299.05,No
9903-LYSAB,0.49757093,Medium Risk,73.15,1305.95,No
0094-OIFMO,0.40639642,Medium Risk,95.0,1120.3,Yes
9227-UAQFT,0.032097798,Low Risk,19.75,284.35,No
7301-ABVAD,0.07734999,Low Risk,86.6,6350.5,No
6614-FHDBO,0.06825924,Low Risk,109.2,7878.3,No
7576-ASEJU,0.3338843,Medium Risk,74.7,3187.65,No
9058-HRZSV,0.22985156,Low Risk,94.4,6126.15,No
4522-AKYLR,0.32669201,Medium Risk,54.8,731.3,No
0221-WMXNQ,0.27594262,Low Risk,75.35,273.4,No
0303-UNCIP,0.30693248,Medium Risk,65.0,2531.8,No
9947-OTFQU,0.4412426,Medium Risk,74.4,1074.3,Yes
0322-YINQP,0.3305777,Medium Risk,48.55,48.55,Yes
0959-WHOKV,0.22502017,Low Risk,99.0,4298.45,No
4075-JFPGR,0.19670214,Low Risk,93.5,4619.55,No
4629-NRXKX,0.54016745,High Risk,70.4,147.15,Yes
9514-JDSKI,0.4958142,Medium Risk,40.2,40.2,Yes
3282-ZISZV,0.32295057,Medium Risk,83.7,2633.3,No
3675-YDUPJ,0.28991804,Low Risk,19.85,193.05,No
4111-BNXIF,0.14115961,Low Risk,59.55,4103.9,No
7017-VFHAY,0.048307456,Low Risk,115.1,7008.15,No
6655-LHBYW,0.2783405,Low Risk,114.35,5791.1,No
4959-JOSRX,0.3759293,Medium Risk,44.6,80.55,Yes
5046-NUHWD,0.29090747,Low Risk,45.0,1228.65,No
7273-TEFQD,0.4312001,Medium Risk,41.15,132.2,Yes
3606-TWKGI,0.52205616,High Risk,106.9,1364.3,Yes
7529-ZDFXI,0.47918573,Medium Risk,89.85,4925.35,No
7605-BDWDC,0.024504097,Low Risk,49.85,1520.1,No
1950-KSVVJ,0.23631756,Low Risk,113.3,5032.25,No
0123-CRBRT,0.0722034,Low Risk,88.1,5526.75,No
6292-TOSSS,0.05787315,Low Risk,24.9,1195.25,No
3197-ARFOY,0.25170836,Low Risk,105.0,2007.25,No
6323-AYBRX,0.0454282,Low Risk,19.35,1099.6,Yes
7014-ZZXAW,0.032687444,Low Risk,24.25,1732.95,No
4385-GZQXV,0.37993902,Medium Risk,94.45,1511.2,Yes
7633-MVPUY,0.023331236,Low Risk,59.75,3450.15,No
6366-ZGQGL,0.5194955,High Risk,24.8,24.8,Yes
4716-HHKQH,0.4772222,Medium Risk,107.05,2172.05,No
5940-AHUHD,0.47822958,Medium Risk,70.6,70.6,Yes
6432-TWQLB,0.3669669,Medium Risk,85.4,401.1,Yes
4484-GLZOU,0.61484027,High Risk,105.05,5624.85,Yes
3179-GBRWV,0.20178097,Low Risk,64.95,1339.8,No
8645-KWHJO,0.36011443,Medium Risk,55.0,771.95,No
4130-MZLCC,0.3649551,Medium Risk,50.55,244.75,No
0314-TKOSI,0.21575812,Low Risk,55.15,322.9,No
8229-MYEJZ,0.39610445,Medium Risk,51.2,498.25,No
2080-SRCDE,0.39236903,Medium Risk,25.4,25.4,No
9577-WJVCQ,0.228487,Low Risk,54.45,3687.75,No
9512-UIBFX,0.40738288,Medium Risk,95.15,1779.95,Yes
6202-DYYFX,0.3953905,Medium Risk,76.0,1783.6,No
3808-HFKDE,0.23763573,Low Risk,44.35,927.15,No
5583-SXDAG,0.533592,High Risk,70.0,70.0,Yes
3488-PGMQJ,0.4412426,Medium Risk,74.5,606.55,Yes
3580-REOAC,0.39841503,Medium Risk,44.85,435.4,Yes
7534-BFESC,0.48655978,Medium Risk,76.1,1712.7,Yes
3727-OWVYD,0.16733178,Low Risk,61.2,2021.2,No
2294-SALNE,0.18202311,Low Risk,86.8,1940.8,No
4847-TAJYI,0.52780503,High Risk,89.35,567.8,No
1563-IWQEX,0.31307378,Medium Risk,19.7,220.35,No
8203-XJZRC,0.4145267,Medium Risk,20.25,20.25,No
6556-DBKZF,0.045106225,Low Risk,76.05,5436.45,No
6851-WEFYX,0.5320969,High Risk,100.8,3437.5,No
2985-JUUBZ,0.4363869,Medium Risk,74.55,3015.75,No
6390-DSAZX,0.33906946,Medium Risk,73.6,73.6,Yes
0895-LMRSF,0.33557293,Medium Risk,64.9,1509.8,No
8098-LLAZX,0.53891665,High Risk,95.45,396.1,Yes
8266-VBFQL,0.32868367,Medium Risk,90.4,356.65,No
8181-YHCMF,0.036756363,Low Risk,60.3,4109.0,No
2240-HSJQD,0.3470097,Medium Risk,81.85,3141.7,No
1248-DYXUB,0.04648799,Low Risk,24.8,1229.1,No
0265-EDXBD,0.47978473,Medium Risk,74.9,2303.35,Yes
4115-BNPJY,0.063164875,Low Risk,75.55,2054.4,No
3167-SNQPL,0.5756575,High Risk,101.15,3741.85,No
4091-TVOCN,0.27474192,Low Risk,78.75,3682.45,No
1098-TDVUQ,0.41916615,Medium Risk,19.25,19.25,No
7277-OZCGZ,0.23370695,Low Risk,89.05,1886.25,No
1557-EMYVT,0.04094487,Low Risk,115.05,4895.1,No
2799-ARNLO,0.51523286,High Risk,69.35,341.6,No
7563-BIUPC,0.54047984,High Risk,80.6,415.55,Yes
5027-YOCXN,0.26597527,Low Risk,110.05,5686.4,No
3973-SKMLN,0.039281733,Low Risk,19.9,1355.1,No
2321-OMBXY,0.26623654,Low Risk,80.3,3058.65,Yes
2840-XANRC,0.4671952,Medium Risk,93.15,2231.05,Yes
6745-JEFZB,0.32375512,Medium Risk,91.5,3236.35,No
5020-ZSTTY,0.26512808,Low Risk,82.45,4350.1,Yes
9880-TDQAC,0.03722017,Low Risk,60.0,4264.0,No
8705-WZCYL,0.48642138,Medium Risk,44.8,44.8,No
7102-JJVTX,0.2648019,Low Risk,48.6,422.3,No
8626-PTQGE,0.033083353,Low Risk,60.05,4176.7,No
4983-CLMLV,0.34183738,Medium Risk,102.7,5138.1,No
5701-YVSVF,0.37640107,Medium Risk,82.9,880.05,No
5804-LEPIM,0.5103967,High Risk,70.35,139.05,Yes
5697-GOMBF,0.433088,Medium Risk,35.9,973.65,No
2739-CACDQ,0.41707668,Medium Risk,82.65,1470.05,No
9385-EHGDO,0.055943936,Low Risk,19.85,739.35,No
9498-FIMXL,0.26111054,Low Risk,19.2,161.95,No
2379-GYFLQ,0.23125555,Low Risk,94.9,4422.95,No
0122-OAHPZ,0.4810321,Medium Risk,73.85,511.25,Yes
2868-SNELZ,0.40238157,Medium Risk,80.6,155.8,Yes
4322-RCYMT,0.43109572,Medium Risk,75.8,5293.95,Yes
6680-NENYN,0.14268894,Low Risk,104.6,4759.85,Yes
2088-IEBAU,0.06382866,Low Risk,88.15,6148.45,No
7982-VCELR,0.4737405,Medium Risk,94.8,3565.65,No
1343-EHPYB,0.5512142,High Risk,103.4,6603.0,Yes
6035-BXTTY,0.49628165,Medium Risk,54.65,1830.1,No
6885-PKOAM,0.064218625,Low Risk,85.75,6223.8,No
7520-HQWJU,0.17528561,Low Risk,67.45,4508.65,No
9639-BUJXT,0.2641394,Low Risk,20.5,1328.15,No
5924-SNGKP,0.25104463,Low Risk,20.25,865.0,No
0021-IKXGC,0.52897865,High Risk,72.1,72.1,No
2034-GDRCN,0.5229782,High Risk,90.4,168.2,Yes
8966-SNIZF,0.046074625,Low Risk,19.45,1303.5,No
6243-OZGFH,0.47556132,Medium Risk,44.95,996.85,No
4654-DLAMQ,0.308628,Medium Risk,97.0,6430.9,No
0513-RBGPE,0.044379726,Low Risk,62.8,2278.75,No
5160-UXJED,0.26118174,Low Risk,44.6,681.4,No
4115-NZRKS,0.52780503,High Risk,89.15,574.35,No
0219-YTZUE,0.48421443,Medium Risk,84.8,371.9,Yes
0623-IIHUG,0.30694297,Medium Risk,41.9,840.1,Yes
4572-DVCGN,0.4627655,Medium Risk,80.25,846.0,Yes
3351-NGXYI,0.23578994,Low Risk,54.1,889.0,No
8984-EYLLL,0.047202285,Low Risk,105.25,6823.4,No
9057-MSWCO,0.25148103,Low Risk,30.75,805.1,Yes
9833-TGFHX,0.44356245,Medium Risk,97.1,4016.75,No
9294-TDIPC,0.363288,Medium Risk,20.2,83.75,No
5229-DTFYB,0.029471694,Low Risk,98.8,3959.15,No
0104-PPXDV,0.22973424,Low Risk,50.3,2878.55,No
5176-LMJXE,0.024071274,Low Risk,20.55,945.7,No
3583-KRKMD,0.27857152,Low Risk,75.9,1373.05,No
1010-DIAUQ,0.5124096,High Risk,96.5,492.55,Yes
9069-LGEUL,0.21377979,Low Risk,59.95,1406.0,No
7302-ZHMHP,0.40633905,Medium Risk,19.15,19.15,No
9571-EDEBV,0.40180904,Medium Risk,98.65,6962.85,No
3520-FJGCV,0.04514628,Low Risk,112.6,8126.65,No
6563-VRERX,0.18916538,Low Risk,20.6,690.25,No
0259-GBZSH,0.5337779,High Risk,85.65,181.5,Yes
6122-EFVKN,0.04840786,Low Risk,35.75,830.8,No
2805-EDJPQ,0.23068279,Low Risk,99.75,5608.4,No
6862-CQUMB,0.37669614,Medium Risk,96.1,3646.8,No
7156-MXBJE,0.28985757,Low Risk,85.1,3662.25,No
6158-HDPXZ,0.4291399,Medium Risk,25.35,25.35,No
9601-BRXPO,0.3872616,Medium Risk,104.95,2566.5,Yes
2863-IMQDR,0.039945442,Low Risk,89.65,5308.7,No
5686-CMAWK,0.43456942,Medium Risk,86.75,1410.25,No
5651-CRHKQ,0.14118986,Low Risk,86.2,3339.05,No
6905-NIQIN,0.36814216,Medium Risk,50.65,50.65,Yes
8204-YJCLA,0.029004194,Low Risk,64.8,4732.35,No
5167-ZFFMM,0.6074939,High Risk,90.85,90.85,Yes
6583-SZVGP,0.073461965,Low Risk,108.1,5067.45,No
4895-TMWIR,0.34645447,Medium Risk,19.95,214.75,Yes
0533-BNWKF,0.57645684,High Risk,85.45,4874.7,Yes
1708-PBBOA,0.2850531,Low Risk,54.75,2348.45,No
8782-LKFPK,0.3732907,Medium Risk,90.4,4063.0,No
5522-JBWMO,0.4326374,Medium Risk,44.0,44.0,No
3597-MVHJT,0.41221413,Medium Risk,95.6,2595.25,No
9774-NRNAU,0.2421903,Low Risk,84.8,2309.55,No
0224-RLWWD,0.40997308,Medium Risk,44.3,89.3,No
9967-ATRFS,0.35177034,Medium Risk,19.9,367.55,No
3951-NJCVI,0.56582063,High Risk,95.05,3944.5,No
2977-CEBSX,0.035657648,Low Risk,90.05,5965.95,No
0177-PXBAT,0.27105632,Low Risk,109.9,3694.7,No
6599-CEBNN,0.27364406,Low Risk,73.95,2524.45,Yes
2519-ERQOJ,0.3375385,Medium Risk,54.6,1803.7,No
5876-QMYLD,0.16958037,Low Risk,20.05,415.1,No
2277-AXSDC,0.26984125,Low Risk,19.75,624.15,No
9442-JTWDL,0.22908482,Low Risk,20.05,237.7,No
0979-PHULV,0.5113479,High Risk,99.45,7007.6,Yes
3067-SVMTC,0.2027912,Low Risk,55.9,3848.8,No
5495-GPSRW,0.032901354,Low Risk,19.7,419.4,No
7606-BPHHN,0.051389236,Low Risk,19.8,1468.75,No
4742-DRORA,0.21662931,Low Risk,95.4,5812.0,No
0111-KLBQG,0.43117195,Medium Risk,93.95,2861.45,No
4800-VHZKI,0.3900282,Medium Risk,19.9,19.9,Yes
7989-CHGTL,0.4113557,Medium Risk,19.6,19.6,Yes
0334-GDDSO,0.43563855,Medium Risk,81.35,233.7,Yes
4163-NCJAK,0.26337847,Low Risk,24.45,1066.15,No
5233-AOZUF,0.4636787,Medium Risk,74.95,2149.05,No
5973-EJGDP,0.40095553,Medium Risk,87.35,4473.0,No
1996-DBMUS,0.49216363,Medium Risk,70.65,3545.05,No
7916-VCCPB,0.37738028,Medium Risk,73.25,1195.75,No
4686-GEFRM,0.05448646,Low Risk,98.7,6858.9,No
5249-QYHEX,0.03675669,Low Risk,24.8,1024.7,No
0578-SKVMF,0.37873673,Medium Risk,83.3,1845.9,Yes
5564-NEMQO,0.47391358,Medium Risk,75.3,75.3,Yes
2233-FAGXV,0.35000196,Medium Risk,24.3,132.25,No
5605-IYGFG,0.47368282,Medium Risk,69.85,515.45,No
7663-ZTEGJ,0.29110724,Low Risk,100.55,2830.45,No
3935-TBRZZ,0.25120234,Low Risk,25.7,1110.5,No
8111-BKVDS,0.2677172,Low Risk,40.7,449.3,No
2055-SIFSS,0.33600396,Medium Risk,51.65,2838.55,No
2806-MLNTI,0.31747526,Medium Risk,105.1,5376.4,No
8734-DKSTZ,0.5332521,High Risk,85.95,858.6,No
4360-PNRQB,0.5041748,High Risk,75.6,1395.05,No
