customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,avg_charges_per_tenure,charge_difference,total_services,has_online_services,has_streaming,contract_score,payment_risk_score,customer_value_score,loyalty_score
8779-QRDMV,Male,1,No,No,1,No,No_phone_service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0-12,19.825,-19.825,2,1,1,0,3,12.595,0.005555555555555556
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One year,No,Bank transfer (automatic),19.8,202.25,No,0-12,15.557692307692308,-4.242307692307692,1,0,0,1,0,9.939999999999998,0.5166666666666666
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0-12,10.075,-10.075,1,0,0,0,1,6.544999999999999,0.20555555555555557
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,49-60,59.40847457627118,-0.4915254237288167,4,1,0,2,0,36.56999999999999,0.9222222222222223
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,49-60,59.406000000000006,-0.1939999999999955,4,1,0,0,0,33.379999999999995,0.5722222222222222
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,25-48,49.37419354838709,-5.925806451612907,3,1,0,0,0,26.19,0.4666666666666667
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,25-48,98.940625,-0.40937499999999716,5,1,1,0,3,44.904999999999994,0.2611111111111111
8665-UTDHZ,Male,0,Yes,Yes,1,No,No_phone_service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0-12,15.1,-15.1,1,1,0,0,3,9.559999999999999,0.005555555555555556
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,61-72,87.2527397260274,-2.9972602739726,8,1,1,2,0,50.675,1.0
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,13-24,60.727777777777774,-3.9722222222222285,3,0,1,0,1,25.11,0.29444444444444445
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,61-72,93.98541666666667,-2.3645833333333286,6,1,0,2,0,51.805,0.9944444444444445
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0-12,60.550000000000004,-34.949999999999996,4,1,1,0,0,30.05,0.3111111111111111
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,25-48,66.94464285714285,0.794642857142847,5,1,0,1,1,29.145,0.5
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0-12,10.1,-10.1,1,0,0,0,0,6.56,0.3055555555555555
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0-12,22.625,-22.625,1,0,0,0,0,14.075,0.3055555555555555
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,61-72,99.33835616438355,-0.5616438356164508,6,1,1,2,0,53.169999999999995,1.0
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0-12,52.81666666666666,-16.88333333333334,1,0,0,0,3,22.61,0.02777777777777778
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,25-48,75.49574468085106,0.6957446808510639,2,1,0,0,0,36.63999999999999,0.5555555555555556
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,25-48,101.40714285714286,-4.942857142857136,6,1,1,0,3,43.305,0.18888888888888888
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0-12,92.11666666666667,-5.73333333333332,5,1,1,0,0,33.654999999999994,0.3611111111111111
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0-12,43.24545454545454,-6.304545454545455,2,1,0,1,1,18.464999999999996,0.40555555555555556
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,61-72,68.62464788732395,-0.5753521126760575,5,1,1,2,0,43.160000000000004,0.9888888888888889
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One year,No,Mailed check,20.75,418.25,No,13-24,23.23611111111111,2.4861111111111107,1,0,0,1,1,11.724999999999998,0.4444444444444444
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,61-72,75.96015625,-3.889843749999997,7,1,1,2,0,44.654999999999994,0.95
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,13-24,70.10357142857143,-6.096428571428575,6,1,1,0,3,27.959999999999997,0.07222222222222223
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,49-60,78.134,-6.366,3,0,1,0,3,40.65,0.27222222222222225
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0-12,32.333333333333336,-16.916666666666664,2,1,0,0,1,15.774999999999999,0.2111111111111111
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0-12,48.050000000000004,-32.6,2,0,1,0,3,25.195,0.011111111111111112
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,49-60,79.5811320754717,-0.1688679245282998,6,1,1,2,0,41.125,0.8888888888888888
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,61-72,60.77285714285715,-3.3771428571428572,5,1,0,2,0,41.345,0.9833333333333334
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,25-48,87.24431818181819,-3.005681818181813,4,1,1,0,3,40.775,0.2388888888888889
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,13-24,89.15,-9.949999999999989,5,1,1,0,0,35.23,0.3833333333333333
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,25-48,67.40961538461539,-2.0903846153846075,5,1,1,0,0,29.349999999999998,0.4388888888888889
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0-12,70.36666666666666,-10.283333333333346,3,1,0,0,0,27.195,0.34444444444444444
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,49-60,73.05491803278689,-1.7950819672131075,6,1,1,1,0,41.855000000000004,0.7833333333333334
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,13-24,92.23947368421052,-3.2105263157894797,4,0,1,0,3,34.835,0.1
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,61-72,98.6125,-1.0375000000000085,5,1,1,1,0,49.995000000000005,0.8
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,61-72,105.61716417910448,-2.832835820895525,7,1,1,1,3,53.934999999999995,0.5166666666666667
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,No,Credit card (automatic),24.95,894.3,No,25-48,25.55142857142857,0.6014285714285705,2,0,0,2,0,18.484999999999996,0.7888888888888889
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,61-72,107.58493150684932,0.0849315068493155,6,1,1,2,0,55.449999999999996,1.0
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,25-48,98.06458333333335,-2.4354166666666544,5,1,1,0,3,45.25,0.2611111111111111
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,49-60,89.35573770491803,-0.5442622950819782,4,1,1,0,0,45.769999999999996,0.6333333333333333
0526-SXDJP,Male,0,Yes,No,72,No,No_phone_service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,61-72,40.57534246575342,-1.524657534246579,3,1,0,2,0,35.23,1.0
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,13-24,50.373684210526314,-4.026315789473685,3,1,0,1,0,22.52,0.55
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0-12,85.725,-8.675000000000011,4,0,1,0,3,31.82,0.05
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0-12,61.025,-14.274999999999999,5,1,1,0,3,24.49,0.016666666666666666
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,25-48,76.04895833333333,-2.8510416666666742,3,1,0,1,3,38.57000000000001,0.4111111111111111
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,25-48,78.0375,-1.1625000000000085,6,1,1,2,1,34.660000000000004,0.6722222222222223
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,No,Bank transfer (automatic),20.15,930.9,No,49-60,18.25294117647059,-1.8970588235294095,1,0,0,2,0,21.644999999999996,0.8777777777777778
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0-12,80.66818181818182,0.8181818181818272,3,1,0,0,1,27.555,0.2555555555555556
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0-12,24.525,-24.525,2,1,0,0,1,15.415,0.20555555555555557
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One year,Yes,Electronic check,20.4,1090.65,No,49-60,20.578301886792456,0.1783018867924575,1,0,0,1,3,22.119999999999997,0.4388888888888889
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,61-72,109.21538461538462,-2.3846153846153726,7,1,1,2,0,54.47999999999999,0.9555555555555555
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,61-72,22.61269841269841,-1.6373015873015895,2,0,0,2,0,26.674999999999994,0.9444444444444444
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0-12,44.35,-20.15,4,1,1,0,0,21.049999999999997,0.31666666666666665
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,49-60,107.71052631578948,-2.7894736842105203,7,1,1,1,3,51.550000000000004,0.46111111111111114
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,25-48,57.2095744680851,1.5595744680851027,2,0,1,1,0,31.094999999999995,0.7055555555555555
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0-12,53.583333333333336,-1.0666666666666629,3,1,0,0,1,19.395,0.24444444444444446
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,25-48,68.10645161290323,-6.6435483870967715,5,1,1,0,3,32.425,0.16666666666666669
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,One year,Yes,Credit card (automatic),25.9,1216.6,No,25-48,26.44782608695652,0.5478260869565226,2,0,0,1,0,21.869999999999997,0.7
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0-12,39.675,-39.675,2,0,1,0,3,24.504999999999995,0.005555555555555556
8108-UXRQN,Female,0,Yes,Yes,11,No,No_phone_service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0-12,47.112500000000004,-3.437499999999993,3,1,1,0,3,19.065,0.061111111111111116
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0-12,62.1125,-13.037500000000009,2,1,0,0,0,25.045,0.3388888888888889
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,25-48,100.63953488372093,-3.1604651162790702,6,1,1,0,0,44.94,0.5333333333333333
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,49-60,19.467,-0.6829999999999998,1,0,0,2,0,21.344999999999995,0.8722222222222222
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0-12,91.875,-7.424999999999997,5,1,1,0,0,33.49,0.35
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,25-48,61.540277777777774,-0.6097222222222243,3,1,1,1,0,29.945,0.6444444444444444
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,25-48,21.571428571428573,0.9214285714285744,1,0,0,2,0,21.194999999999997,0.8666666666666667
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,Yes,Mailed check,19.95,927.1,No,25-48,19.72553191489362,-0.2244680851063805,1,0,0,2,1,20.384999999999994,0.7555555555555555
3016-KSVCP,Male,0,Yes,No,29,No,No_phone_service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,25-48,33.641666666666666,-0.10833333333333428,1,0,1,0,1,19.025,0.36111111111111116
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,25-48,82.90967741935484,0.8596774193548384,3,1,0,0,0,34.214999999999996,0.4666666666666667
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0-12,37.35,-37.35,2,1,0,0,3,23.11,0.005555555555555556
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,61-72,85.28731343283582,1.2873134328358162,7,1,1,2,1,46.8,0.8666666666666667
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,61-72,107.68181818181819,-3.36818181818181,7,1,1,0,0,54.214999999999996,0.6611111111111112
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,61-72,102.17876712328767,1.2787671232876647,6,1,1,2,0,53.47,1.0
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,0-12,71.33461538461539,-7.615384615384613,3,1,0,0,3,27.884999999999998,0.06666666666666667
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,61-72,65.95416666666667,-0.8958333333333286,5,1,0,1,0,42.555,0.8444444444444446
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Mailed check,21.05,113.85,Yes,0-12,18.974999999999998,-2.075000000000003,1,0,0,0,1,8.015,0.2277777777777778
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,49-60,20.89056603773585,-0.10943396226414848,1,0,0,2,0,22.499999999999996,0.8888888888888888
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,25-48,96.71153846153847,-1.788461538461533,5,1,1,0,3,38.05,0.1388888888888889
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Mailed check,20.2,20.2,No,0-12,10.1,-10.1,1,0,0,0,1,6.56,0.20555555555555557
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Month-to-month,No,Electronic check,19.45,19.45,No,0-12,9.725,-9.725,1,0,0,0,3,6.335,0.005555555555555556
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,25-48,92.45128205128205,-2.5487179487179503,5,1,1,1,0,41.1,0.6611111111111112
5386-THSLQ,Female,1,Yes,No,66,No,No_phone_service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,61-72,45.18283582089552,-0.36716417910447774,3,1,1,1,0,34.26500000000001,0.8166666666666667
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,61-72,110.31666666666668,0.3166666666666771,7,1,1,2,0,55.199999999999996,0.9777777777777779
6180-YBIQI,Male,0,No,No,5,No,No_phone_service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0-12,16.7,-7.600000000000001,0,0,0,0,1,8.79,0.2277777777777778
